name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
waikiki,2024-01-12,76,62.1,67.8,76,62.1,67.8,57,68.8,0.086,100,50,rain,0,0,41.4,18.6,334.5,1011.5,56.4,9.6,153.6,13.4,6,10,2024-01-12T07:11:19,2024-01-12T18:08:07,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-13,76.7,62.3,69.1,76.7,62.3,69.1,55.8,63.7,0,0,0,rain,0,0,33.3,14.9,345.8,1011.8,44.3,9.9,198.7,17.1,7,10,2024-01-13T07:11:24,2024-01-13T18:08:48,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-14,77,60,68.9,77,60,68.9,59.3,72.6,0,0,0,,0,0,27.4,13.6,306.2,1011.5,17.2,9.8,222.3,19.2,8,10,2024-01-14T07:11:28,2024-01-14T18:09:29,0.12,Clear,Clear conditions throughout the day.,clear-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-15,77.6,61.3,70.9,77.6,61.3,70.9,62.1,74.8,0,0,0,rain,0,0,24.2,12,213.8,1009.7,46.9,9.7,180.1,15.5,8,10,2024-01-15T07:11:30,2024-01-15T18:10:10,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-16,80.7,74.1,77.2,84.4,74.1,77.3,68.9,75.7,0.029,100,8.33,rain,0,0,42.5,20.8,239.5,1007.2,82,9.6,49.6,4.1,2,10,2024-01-16T07:11:31,2024-01-16T18:10:51,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-17,81.3,68.4,74.4,83.2,68.4,74.7,65.3,73.6,0,0,0,,0,0,27.7,13.4,269.8,1009.8,33.3,9.4,214.3,18.4,9,10,2024-01-17T07:11:30,2024-01-17T18:11:32,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-18,79.4,63.7,71.6,79.4,63.7,71.6,64.6,79.4,0,0,0,,0,0,11.9,9.7,329.8,1011.9,23.2,9.5,202.2,17.4,8,10,2024-01-18T07:11:28,2024-01-18T18:12:13,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-19,81.2,67,74.4,84.1,67,74.7,66.5,77.4,0,0,0,,0,0,17.2,11.8,171.8,1013.1,45.3,9.6,124.2,10.8,6,10,2024-01-19T07:11:25,2024-01-19T18:12:54,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-20,80.7,69.3,75.8,83.8,69.3,76.4,67.8,76.6,0,0,0,rain,0,0,16.8,10,204.7,1013.1,43.7,9.9,130.5,11.2,6,10,2024-01-20T07:11:20,2024-01-20T18:13:34,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-21,79,71.2,75.4,79,71.2,75.4,67.8,77.4,0,0,0,rain,0,0,19.7,11.5,146.7,1013.6,82.4,9.9,93.2,7.9,5,10,2024-01-21T07:11:15,2024-01-21T18:14:15,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-22,81.8,71.8,77.2,85.3,71.8,77.8,68.2,74,0.007,100,4.17,rain,0,0,25.3,13.7,184.8,1013.5,58.9,9.5,103.8,9,5,10,2024-01-22T07:11:07,2024-01-22T18:14:55,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-23,81.5,74.8,77.5,83.7,74.8,78,66.7,69.9,0,0,0,rain,0,0,26.5,13.5,179.6,1013.5,41.8,9.6,156.6,13.6,7,10,2024-01-23T07:10:59,2024-01-23T18:15:36,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-24,80.7,72.2,77.2,83.1,72.2,77.8,66.8,70.9,0.039,100,16.67,rain,0,0,35.8,18.2,211,1012.1,83.2,9.4,40.9,3.4,2,10,2024-01-24T07:10:49,2024-01-24T18:16:16,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-25,81.1,68.8,74.5,83.7,68.8,74.8,67.4,79.2,0.014,100,8.33,rain,0,0,19.7,11.5,253.4,1011.6,47.4,9.4,230.4,19.7,8,10,2024-01-25T07:10:38,2024-01-25T18:16:55,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-26,81.5,66.5,73.9,84,66.5,74.3,66.6,78.7,0.02,100,8.33,rain,0,0,26.4,12.1,218.3,1011.8,49.5,9.6,152,13.1,8,10,2024-01-26T07:10:25,2024-01-26T18:17:35,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-27,82.7,74.4,78,86.2,74.4,78.7,68.9,73.9,0.012,100,12.5,rain,0,0,40.3,18.5,216.9,1011,57.6,9.9,73.3,6.1,4,10,2024-01-27T07:10:11,2024-01-27T18:18:14,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-28,80.1,74.8,77.4,83.6,74.8,77.6,70.2,78.6,0.086,100,37.5,rain,0,0,33.4,18.6,221.5,1010.2,88.1,9.5,30.4,2.6,1,10,2024-01-28T07:09:56,2024-01-28T18:18:53,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-29,81.1,73.1,76.8,85,73.1,77.6,71,82.4,0.157,100,41.67,rain,0,0,31.9,19.5,229.3,1010.2,81.7,9.1,36.1,3.1,2,10,2024-01-29T07:09:39,2024-01-29T18:19:31,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-30,79.1,68.4,74.1,79.1,68.4,74.1,69,84.3,0.059,100,33.33,rain,0,0,21.7,10.6,297.7,1013.5,77,9.1,174.5,15,8,10,2024-01-30T07:09:22,2024-01-30T18:20:09,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-01-31,80.9,65.4,73.6,83.7,65.4,74,65.4,76.1,0,0,0,rain,0,0,13,7.9,303.8,1014.6,73.7,9.3,152.8,13.3,8,10,2024-01-31T07:09:03,2024-01-31T18:20:47,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-01,78.6,67.8,72.5,78.6,67.8,72.5,66.6,82,0.068,100,37.5,rain,0,0,31.4,13.2,349.2,1016.4,94.7,8.7,66.3,5.9,3,10,2024-02-01T07:08:42,2024-02-01T18:21:24,0.74,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-02,78.4,67.7,71.7,78.4,67.7,71.7,59.1,65.7,0.034,100,29.17,rain,0,0,37.5,23.3,11.4,1019.7,69.1,9.5,207.3,17.8,8,10,2024-02-02T07:08:21,2024-02-02T18:22:01,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-03,76.3,69,72.1,76.3,69,72.1,53.1,51.4,0,0,0,,0,0,35,19.7,41.9,1021.6,49.7,9.9,230,19.9,9,10,2024-02-03T07:07:58,2024-02-03T18:22:38,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-04,79.3,69.4,73.1,79.3,69.4,73.1,58,59.5,0,0,0,rain,0,0,36.1,22.1,70.2,1020.4,69.4,9.9,73,6.2,2,10,2024-02-04T07:07:34,2024-02-04T18:23:14,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-05,80.2,69.6,74.5,80.9,69.6,74.5,59.1,59,0.009,100,4.17,rain,0,0,35.7,19.3,77.5,1019.9,60,9.5,220.8,19.1,8,10,2024-02-05T07:07:09,2024-02-05T18:23:49,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-06,80.3,71.3,75.6,81.3,71.3,75.7,59.8,58.2,0,0,0,rain,0,0,33.9,19.8,75.5,1020.5,56.4,9.4,106.6,9.4,5,10,2024-02-06T07:06:43,2024-02-06T18:24:25,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-07,81.2,70.7,75.8,82.1,70.7,75.9,60.7,60,0,0,0,rain,0,0,34.4,18.6,79,1021.9,46.8,9.4,107.7,9.2,4,10,2024-02-07T07:06:15,2024-02-07T18:24:59,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-08,82.3,71.1,75.7,82.9,71.1,75.9,62,63.1,0,0,0,rain,0,0,29.5,14.2,69.6,1020.5,48.9,9.4,171.5,14.8,7,10,2024-02-08T07:05:46,2024-02-08T18:25:33,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-09,80.3,69.6,74,82.4,69.6,74,66,76.8,0.026,100,20.83,rain,0,0,31.1,12.8,70.3,1018.5,70.9,9.4,103.3,8.9,6,5,2024-02-09T07:05:17,2024-02-09T18:26:07,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-10,79.4,69,73.5,79.4,69,73.5,65.1,75.9,0.019,100,12.5,rain,0,0,20.8,12.4,116.7,1017.8,65.4,9.8,160.5,13.9,8,10,2024-02-10T07:04:46,2024-02-10T18:26:41,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-11,79.3,65.4,72.6,79.3,65.4,72.6,63.9,75.2,0,0,0,rain,0,0,9.8,10.8,277.5,1017.1,37.7,9.9,151.1,13,6,10,2024-02-11T07:04:14,2024-02-11T18:27:13,0.07,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-12,82.2,64,73.1,83.1,64,73.3,61.9,69.2,0.016,100,8.33,rain,0,0,27.5,16.3,280.7,1014.7,39,9.4,205.6,17.6,8,10,2024-02-12T07:03:41,2024-02-12T18:27:46,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-13,79.6,66.7,73.9,79.6,66.7,73.9,64.9,74.2,0,0,0,rain,0,0,14.3,10.6,205.3,1013,46,9.3,160.2,13.8,9,10,2024-02-13T07:03:07,2024-02-13T18:28:17,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-14,79.9,69.5,74.7,79.9,69.5,74.7,65.6,73.9,0.058,100,20.83,rain,0,0,27.6,16.7,238.6,1012.6,62.2,9.4,137.5,11.7,6,10,2024-02-14T07:02:32,2024-02-14T18:28:49,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-15,75.9,69.5,72.6,75.9,69.5,72.6,61.5,68.9,0.035,100,16.67,rain,0,0,32.2,16.4,344.8,1014.7,93.6,9.3,142.6,12.4,5,10,2024-02-15T07:01:56,2024-02-15T18:29:20,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-16,78,67.6,71.7,78,67.6,71.7,56.4,59,0.022,100,12.5,rain,0,0,29.8,17.6,12.9,1018.2,61.8,9.7,260.1,22.4,9,10,2024-02-16T07:01:18,2024-02-16T18:29:50,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-17,78,66.1,72.1,78,66.1,72.1,51.3,48.5,0,0,0,,0,0,30.4,17.8,26.2,1020.4,48.2,9.9,224.2,19.3,8,10,2024-02-17T07:00:40,2024-02-17T18:30:20,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
waikiki,2024-02-18,77.9,69,72.5,77.9,69,72.5,52.8,50.4,0,0,0,,0,0,34.9,22.4,53,1022,35.2,9.9,259,22.4,9,10,2024-02-18T07:00:02,2024-02-18T18:30:49,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-19,78.7,68.5,72.9,78.7,68.5,72.9,54,52.1,0,0,0,rain,0,0,32,15.9,64.4,1022,60.1,9.9,233.2,20,9,10,2024-02-19T06:59:22,2024-02-19T18:31:18,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-20,80,69.4,74.5,80.1,69.4,74.5,56.2,53.6,0,0,0,rain,0,0,30,11.2,73.2,1021.2,68.7,9.6,207.3,18,9,10,2024-02-20T06:58:41,2024-02-20T18:31:46,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-21,79.8,69.6,73.9,79.8,69.6,73.9,61.2,64.9,0.021,100,12.5,rain,0,0,29.9,14.9,78.8,1020.7,81.7,9.4,122,10.5,6,10,2024-02-21T06:57:59,2024-02-21T18:32:14,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-22,80.7,69.9,74.5,81.5,69.9,74.6,62.4,66.9,0.029,100,8.33,rain,0,0,24.2,16.6,73.4,1019.9,72.3,9.4,268,23.1,9,10,2024-02-22T06:57:17,2024-02-22T18:32:42,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-23,82.1,69.1,75.1,82.7,69.1,75.3,62.5,65.7,0,0,0,rain,0,0,28.6,16.9,65.9,1017.7,64.2,9.5,191.3,16.5,8,10,2024-02-23T06:56:34,2024-02-23T18:33:09,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-24,77.7,69.1,73.3,77.7,69.1,73.3,62.6,69.5,0.04,100,20.83,rain,0,0,33.3,16.9,68.5,1017.7,62.9,9.7,100.9,8.6,5,10,2024-02-24T06:55:50,2024-02-24T18:33:35,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-25,79.6,70.7,74.2,79.6,70.7,74.2,59.7,61.1,0.003,100,4.17,rain,0,0,34.1,20.9,63.8,1019.1,46.5,9.9,161.3,13.9,7,10,2024-02-25T06:55:05,2024-02-25T18:34:02,0.55,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-26,79.2,70,74,79.2,70,74,60.4,62.8,0.003,100,4.17,rain,0,0,35.2,22.2,65,1021.1,52.7,9.3,119.6,10.3,5,10,2024-02-26T06:54:20,2024-02-26T18:34:27,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-27,81.2,71.9,75.3,81.6,71.9,75.4,59.7,58.8,0,0,0,rain,0,0,35.5,19.2,67.2,1021.1,48.8,9.4,181.3,15.7,8,10,2024-02-27T06:53:34,2024-02-27T18:34:52,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-28,78.9,69.4,73.5,78.9,69.4,73.5,61.7,67.3,0.13,100,20.83,rain,0,0,33.3,18.2,56.5,1019.4,62,9.5,108.1,9.4,4,10,2024-02-28T06:52:47,2024-02-28T18:35:17,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-02-29,80.6,66.7,74.1,81.3,66.7,74.1,62.1,67.7,0.093,100,20.83,rain,0,0,31.8,18.5,64.9,1019.1,63.1,9.3,245.4,21.1,9,30,2024-02-29T06:51:59,2024-02-29T18:35:42,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
waikiki,2024-03-01,81.4,70.5,75.4,82.3,70.5,75.5,61.7,63.2,0,0,0,rain,0,0,33.6,19.3,66,1019.8,42.1,9.5,245.7,21.2,10,10,2024-03-01T06:51:11,2024-03-01T18:36:06,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-03-02,81.7,71.3,75.5,82.3,71.3,75.6,60.9,61.1,0,0,0,rain,0,0,31.2,17.2,60.9,1020,34.6,9.6,201,17.2,9,10,2024-03-02T06:50:23,2024-03-02T18:36:29,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-03-03,81.7,70.5,75.3,82.5,70.5,75.5,63.5,67.7,0.057,100,20.83,rain,0,0,29.4,13.6,42.8,1019,54.7,9.8,269.3,23.4,9,30,2024-03-03T06:49:33,2024-03-03T18:36:53,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-03-04,80.3,70.9,75.5,81.6,70.9,75.6,65.5,71.9,0.051,100,12.5,rain,0,0,30.6,18.7,66.7,1019.5,64.4,9.4,220.7,19,8,30,2024-03-04T06:48:44,2024-03-04T18:37:16,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
waikiki,2024-03-05,78.8,71.8,74.7,78.8,71.8,74.7,60.4,61.6,0.01,100,8.33,rain,0,0,36.7,18.7,61.2,1020.2,58.3,9.3,273,23.6,10,10,2024-03-05T06:47:53,2024-03-05T18:37:38,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-03-06,79.2,68.7,72.7,79.2,68.7,72.7,62.9,72,0.153,100,62.5,rain,0,0,32.8,19,56,1020,75.1,9.1,136.5,11.9,5,30,2024-03-06T06:47:03,2024-03-06T18:38:01,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-03-07,79.8,68,73.9,79.8,68,73.9,60.9,64.9,0.12,100,16.67,rain,0,0,35.7,19.2,45.4,1020.7,60.4,9.3,177.2,15.3,8,10,2024-03-07T06:46:11,2024-03-07T18:38:23,0.92,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-03-08,78.9,70.9,74.1,78.9,70.9,74.1,61.2,64.5,0.008,100,8.33,rain,0,0,33.7,20.3,55.1,1022.4,60.3,9.5,116.5,10,5,10,2024-03-08T06:45:20,2024-03-08T18:38:44,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
waikiki,2024-03-09,81.1,72,75.1,81.9,72,75.2,61.1,62.2,0,0,0,rain,0,0,33.6,20.9,63.2,1022.2,60.1,9.9,213,18.5,10,10,2024-03-09T06:44:28,2024-03-09T18:39:06,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
